label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ONE,0.0,0.0,0.0,-0.280893,-0.210567,-0.043874,-0.487296,-0.476088,-0.126494,-0.572434,-0.713285,-0.227638,-0.477841,-0.693165,-0.329766,-0.214644,-1.008228,-0.081915,-0.264534,-1.37687,-0.204099,-0.333441,-1.635094,-0.296163,-0.397068,-1.846995,-0.376599,-0.028611,-0.989701,-0.14026,-0.327411,-0.834196,-0.289926,-0.342734,-0.563243,-0.29619,-0.251279,-0.513851,-0.282481,0.095609,-0.837945,-0.212324,-0.225494,-0.653021,-0.325336,-0.229567,-0.45765,-0.243998,-0.142824,-0.424976,-0.176476,0.167864,-0.622294,-0.298837,-0.107356,-0.478545,-0.37681,-0.121183,-0.333861,-0.329618,-0.043499,-0.304069,-0.279726
ONE,0.0,0.0,0.0,-0.258056,-0.221465,-0.035488,-0.432699,-0.473597,-0.111057,-0.517232,-0.693423,-0.204695,-0.458087,-0.702082,-0.301203,-0.198043,-0.996941,-0.085224,-0.270252,-1.352582,-0.204353,-0.331377,-1.591844,-0.29641,-0.384535,-1.798024,-0.375973,-0.014647,-0.989695,-0.142443,-0.322246,-0.832452,-0.279382,-0.314443,-0.564533,-0.290849,-0.219269,-0.499184,-0.28495,0.109798,-0.849886,-0.210425,-0.216085,-0.64053,-0.312458,-0.208973,-0.445501,-0.240354,-0.127476,-0.395028,-0.182774,0.181418,-0.646344,-0.292084,-0.098892,-0.484068,-0.369508,-0.116077,-0.33409,-0.3299,-0.056062,-0.282628,-0.28629
ONE,0.0,0.0,0.0,-0.26908,-0.232179,-0.0396,-0.447007,-0.479249,-0.113234,-0.515931,-0.692033,-0.203727,-0.437039,-0.696404,-0.296899,-0.206543,-0.994243,-0.085382,-0.277115,-1.350989,-0.19922,-0.336387,-1.589324,-0.292412,-0.387116,-1.803265,-0.375796,-0.015118,-0.989975,-0.140434,-0.309923,-0.848433,-0.278623,-0.298476,-0.58825,-0.300626,-0.206265,-0.506183,-0.303939,0.118633,-0.8562,-0.205688,-0.195864,-0.656733,-0.305698,-0.190334,-0.460136,-0.240776,-0.113761,-0.398547,-0.189329,0.201742,-0.657794,-0.285069,-0.075403,-0.501338,-0.356502,-0.096577,-0.349204,-0.319206,-0.044441,-0.291182,-0.279831
ONE,0.0,0.0,0.0,-0.274362,-0.228544,-0.048798,-0.469668,-0.501323,-0.125999,-0.532042,-0.723757,-0.220568,-0.417124,-0.693001,-0.317784,-0.230418,-0.992162,-0.088621,-0.295162,-1.386007,-0.22718,-0.350389,-1.637634,-0.338767,-0.393058,-1.866266,-0.429338,-0.030944,-0.989307,-0.14253,-0.252342,-0.91577,-0.311838,-0.268571,-0.64121,-0.341793,-0.203955,-0.52141,-0.337854,0.114978,-0.862137,-0.209699,-0.135599,-0.710367,-0.335834,-0.166403,-0.487656,-0.272221,-0.108674,-0.389206,-0.207462,0.219168,-0.669384,-0.290713,-0.003825,-0.55815,-0.369025,-0.065253,-0.384432,-0.324738,-0.036736,-0.294126,-0.2742
ONE,0.0,0.0,0.0,-0.288462,-0.233501,-0.064116,-0.489896,-0.521465,-0.148975,-0.540152,-0.730193,-0.249465,-0.416126,-0.713632,-0.353277,-0.22855,-1.006844,-0.117659,-0.294434,-1.417048,-0.265524,-0.348851,-1.6928,-0.385406,-0.384992,-1.932918,-0.478349,-0.023441,-0.984788,-0.172174,-0.136302,-0.971159,-0.368321,-0.218324,-0.728838,-0.420995,-0.229423,-0.574091,-0.425247,0.139411,-0.852556,-0.238398,-0.019576,-0.759897,-0.386589,-0.117503,-0.551327,-0.342325,-0.119734,-0.425577,-0.28315,0.267748,-0.661784,-0.317625,0.108392,-0.59858,-0.404653,-0.012728,-0.433277,-0.363309,-0.037255,-0.323987,-0.312023
ONE,0.0,0.0,0.0,-0.248746,-0.216004,-0.065428,-0.428916,-0.49895,-0.1449,-0.439178,-0.73421,-0.236684,-0.25287,-0.71717,-0.330919,-0.159026,-0.969534,-0.127785,-0.222598,-1.374514,-0.257351,-0.259541,-1.635675,-0.360713,-0.282187,-1.869637,-0.447585,0.061085,-0.983837,-0.168327,-0.175702,-0.837279,-0.339862,-0.232964,-0.541072,-0.368414,-0.200579,-0.398192,-0.361536,0.224576,-0.854397,-0.219235,-0.024868,-0.642094,-0.345837,-0.091707,-0.422936,-0.288045,-0.06803,-0.316688,-0.224619,0.351874,-0.659044,-0.284514,0.147874,-0.544075,-0.363615,0.033784,-0.38677,-0.324199,0.007833,-0.291402,-0.274279
ONE,0.0,0.0,0.0,-0.227589,-0.194103,-0.077632,-0.400864,-0.449224,-0.167251,-0.415323,-0.672054,-0.265048,-0.256389,-0.692864,-0.363824,-0.158357,-0.963432,-0.1593,-0.201303,-1.382004,-0.283585,-0.22583,-1.643339,-0.371314,-0.237683,-1.868881,-0.443363,0.058601,-0.979498,-0.192745,-0.153407,-0.824842,-0.367257,-0.213814,-0.521725,-0.401166,-0.208492,-0.339549,-0.39455,0.224031,-0.857787,-0.233126,-0.027902,-0.63482,-0.367356,-0.080034,-0.386193,-0.313539,-0.070421,-0.239299,-0.249926,0.360462,-0.670975,-0.287146,0.134326,-0.521361,-0.371664,0.059392,-0.353014,-0.332223,0.05696,-0.247944,-0.278861
ONE,0.0,0.0,0.0,-0.212605,-0.195423,-0.088534,-0.380066,-0.451672,-0.18271,-0.391433,-0.67154,-0.283333,-0.247802,-0.695987,-0.384179,-0.153053,-0.971992,-0.168259,-0.1896,-1.379462,-0.294832,-0.208422,-1.632761,-0.380596,-0.216686,-1.850313,-0.449317,0.05809,-0.978063,-0.200048,-0.115036,-0.850691,-0.388823,-0.190523,-0.544307,-0.433337,-0.213451,-0.352101,-0.428142,0.224063,-0.853731,-0.2387,-0.001437,-0.640996,-0.392862,-0.07146,-0.379143,-0.350469,-0.083365,-0.226082,-0.286651,0.361208,-0.672085,-0.289886,0.155655,-0.524574,-0.38608,0.081965,-0.355249,-0.351271,0.073911,-0.254293,-0.297511
ONE,0.0,0.0,0.0,-0.214666,-0.195586,-0.091497,-0.383041,-0.457123,-0.189879,-0.390029,-0.67696,-0.295031,-0.237865,-0.689341,-0.400553,-0.152081,-0.969314,-0.177207,-0.188931,-1.386292,-0.309567,-0.207545,-1.641144,-0.39665,-0.211669,-1.862581,-0.467831,0.064474,-0.975509,-0.210298,-0.136274,-0.83003,-0.396948,-0.205515,-0.516143,-0.433083,-0.206733,-0.347656,-0.426964,0.229619,-0.84529,-0.252081,-0.01194,-0.629603,-0.407702,-0.078088,-0.367852,-0.355831,-0.073509,-0.241013,-0.289721,0.364712,-0.659781,-0.30761,0.154355,-0.516831,-0.406993,0.079834,-0.345143,-0.369198,0.077903,-0.257456,-0.31581
ONE,0.0,0.0,0.0,-0.21073,-0.189606,-0.095585,-0.374467,-0.451794,-0.195346,-0.378981,-0.673315,-0.301881,-0.218917,-0.698002,-0.408975,-0.143002,-0.967201,-0.178784,-0.176284,-1.382529,-0.318648,-0.193249,-1.639844,-0.413314,-0.19451,-1.861544,-0.48858,0.071972,-0.974928,-0.210561,-0.119099,-0.833272,-0.402194,-0.190024,-0.521742,-0.442003,-0.194718,-0.359258,-0.436785,0.236239,-0.848707,-0.25177,0.00156,-0.639507,-0.409248,-0.069214,-0.375753,-0.356508,-0.069336,-0.248735,-0.288802,0.369431,-0.666549,-0.307555,0.164563,-0.516608,-0.409016,0.091922,-0.343872,-0.37062,0.092281,-0.257805,-0.315367
